Feature,Importance
ca,0.1304825813286579
thalach,0.1179392360448724
oldpeak,0.10763586183309704
thal_7.0,0.10139755378685229
cp_4,0.10098656292875283
age,0.09161494329520353
chol,0.07280681711484376
trestbps,0.07028455538029661
exang_1,0.05368546813385153
slope_2,0.037106156064646074
sex_1,0.03535654586195258
cp_3,0.0236301761445529
restecg_2,0.017960320979445055
cp_2,0.013653798392439853
fbs_1,0.012211013475477515
thal_6.0,0.007002214800213144
slope_3,0.005408940365447439
restecg_1,0.0008372540693975645
